"ID","target"
"ad1a67e4cbddc767a3456b0d94299b9e","0"
"7246d2f76ac0c217ec25e72ea5f014cb","0"
"22ba388e7dd14c13342c49e75fc29dda","0"
"59f9b981472d97342587fb3e6392aeb1","1"
"f6317cf7ecf126859804eddff279aead","0"
"500bf0fce5509f8faa0d59a3be66a7cb","0"
"5f8333ef730a6ce87968d0158a684e05","0"
"35de3c8468023ca3cecdcc99f60c2c3d","0"
"9625a2859019d065054db34a70cacc0b","0"
"3eb10613bbe82e509ccb2fd5e74b9669","0"
"019cfab5b1d9627377039aa143f0320c","0"
"89ae5568e250d99f8594da0850e11682","0"
"2d466ca023cc1a6405cd7d55d3b96ed2","0"
"7e89371fbd2177f98398a07cc268a7f3","0"
"2e8919dc9e2d1a6565c14958e12c3472","0"
"a9a82f90b2dfea3f82783be3eac4754e","0"
"ed67ce305b0a8ea825c4a984271acfa6","0"
"fb7ac22f8f5a92913622e7bfb712d130","0"
"7a3386789bf60bb7d6d64d0664e456bb","0"
"33b4c0a9819b24f58de8de3fdac1d688","0"
"854ad067b3c8c3373603804d27d5780e","0"
"f2c47003b95a5f420d8a31380a17e588","0"
"e46008eccf6ad83a90459d0addd3f8ef","1"
"bd123afa7340d2716cdd2614b92bd8fd","0"
"cbb6dd173f9e04b671b899d0090954a5","0"
"4d6db6ccd7a06289f462b49857da7d54","0"
"d104adcdcfe7d4c3328cdf69fabf3671","1"
"6d76c71543a4e9827c5f8945916af372","0"
"18d626bf46db96af8ae6203d83b91a52","0"
"c63b05a7526a3128c35e1fbcf58a01ed","0"
"4474e15501382735c88e9e2e8f761a69","0"
"e5e376049c7ffc3426632aeaccebffac","0"
"768e97fc27dd8e4513faf2f3deb6b123","0"
"59e7be85b4db61c2ff9f3064c2c832c6","0"
"5627fbe6ec878bd905d5caff6aa4da03","0"
"ce5f94e9efcf55ba40faf49a6caff16c","1"
"9f73c7a235637bac4a37f9301673b7f5","0"
"c2eeaa8a507dccf7ec172f8ee237f836","0"
"ed46805be1f940a7259388bfe0e22975","0"
"592d0f5679e7594067f88664685f1da2","0"
"60218a3584543fb3c75ada440f1839c8","0"
"07b8c0b0b8ef4bd44319a1bc1011bde0","0"
"bedad63e066487061d1b77b8069ab3ab","0"
"67ac67f03d5bb15b02f153e5c7bc73ff","1"
"0e3148127cc8244dcf36a7d4e15e1e55","0"
"5b7d142b1b8f4151a2d74d59da53bb1c","0"
"7d5577e679f9d87478a8597ee50df589","0"
"8e792c08445a774dc5f9f1a9465d34a1","0"
"86b3770f21d1749f3763678660ac5326","0"
"a1aa264c9413e1f82bce0292b154145e","0"
"53114bec213d592d8dd2c1dee57a8909","0"
"84a0474b7e26aabc47bd026857330950","0"
"fa747fff0169a26c6b623de5a0bb2256","0"
"b9f0f79928131930cd700d1204bcfd30","1"
"22d01d7d63efc8c4d5e8550824424f1f","0"
"678d1fc81be838e3b8a77f0c224a5517","0"
"451b032eb4c64f60afe89beb22f8268c","0"
"e809d2bbbe8ebb8af9e486af62999c31","0"
"b1192e285f1fd0b762456f82988059da","0"
"da9e9aff1baaef67d56ad33ef8adaaff","1"
"cbfbf40515fd8e6bab355527d0a10e9c","0"
"1cd8ea84a590ea076afaabfb5bbcc438","0"
"87258d68279a18a163d2278628d205ac","0"
"9bfe11e1003d3a04d86f2a9b032ef417","1"
"0533dea003c8b13fc5e745c918fcc1a0","0"
"b4b71da77d118c43cb544b6aac11a4cf","0"
"f20907e49bff9db4c805c05ab4c3beaa","0"
"7351bbfd2a95c39c64e6c119c140bc0a","0"
"626eeec248f85010a40da4acfe68e1e4","0"
"483fdc9388cc40d78b8db0ce1c79c06d","0"
"1fbdf54a1a135c13334bc632b4c81778","0"
"65008d6aac3369c9defa95ae1f26023e","0"
"f3d17b496ab941387117525fa83e02dd","0"
"8acad6d1c10073b4793646a89ea685c7","0"
"1a67c09e6e2bec85748dbbfc71ac982b","0"
"f8d2c0c17eabe9b753393d34823abc96","0"
"86814e0d6633ffb655f847979050bbc4","0"
"cfeb53ab0b622a2a6d427183290ff76c","0"
"6ea784592d5226eaef48d78b8e8b5cb5","0"
"8bc2499b104eebd1421e1c917493ebb1","1"
"c8274d29a89946a72bcbfd4ed92a6fe6","0"
"43555b79bfc01f17d61a2f873de607f7","0"
"4d57deff4b49d14c887657ccdb4bf74f","0"
"6a8ff6a4fd0b0de746a73c0bb1de3092","0"
"14a8723e79eddd8d89220041d0af02a5","0"
"01b5ea8fa508a6aad0500046bfca6f29","0"
"506e1443bdeb1e79b5ecb2d8b409553d","1"
"bf91f40a4ea713ecfa6c1626a9966702","0"
"72a737d9f129cb6b00d9014cd16aab9b","0"
"71f1e12be347edb2e123c4c21ab4488d","0"
"0aee8f0ed6e2ecd6d59673999564e351","1"
"2d4a5339ce48e98a939ace59c9668c2f","0"
"25fe7ff45d0f5c00b371b32c5603d585","0"
"5105c057ac305d6e17a18b5454829bc2","0"
"30334c5f9cfeba69a93005012d829481","0"
"4cc9aafbea9966e02136a7e9b061c53c","0"
"311f34c443f93831112fbcfc8dfd05aa","1"
"a2730b198a08320a74f7e6b397676d35","0"
"87c8e117af86961f14d12b04a8885bfb","0"
"a03d96b4293362f4f8c36ddff9a09a9b","0"
"63b2a5bdd9ec09e46356bbb163c6b4b1","0"
"de402d532df1c657f3b7ce0b387bd767","0"
"1120ba4026fcc47c2cd45f172e766dae","0"
"ec3dd8799f332a9cf4bd1be6cc65cee6","1"
